track_name,artists,album,release_date,popularity,spotify_url
the 1 - the long pond studio sessions,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,55,https://open.spotify.com/track/08J4bMHbILkwSIhbtrcvjN
NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,94,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5
Red (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,77,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6
No siempre quedará París - Remix,"Leo Rizzi, Reik",No siempre quedará París (Remix),2023-02-03,44,https://open.spotify.com/track/4TPugCH4s6bRqhWhGkb2qw
CHOKE,The Warning,ERROR,2022-06-24,59,https://open.spotify.com/track/1GQv9r0tn00ZfHTw92jAcW
august,Taylor Swift,folklore,2020-07-24,86,https://open.spotify.com/track/3hUxzQpSfdDqwM3ZTFQY0K
BAILE INoLVIDABLE,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,96,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2
Sr. Tigre - French Braids Rework,"YoSoyMatt, Eva de Marce, French Braids",Sr. Tigre (French Braids Rework),2020-09-25,64,https://open.spotify.com/track/3u2hfoDnXpCiQQRQkblecj
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,100,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
seven,Taylor Swift,folklore (deluxe version),2020-08-18,65,https://open.spotify.com/track/76mOLcXOjOEhyY4mMF1l3r
You Need To Calm Down,Taylor Swift,Lover,2019-08-23,79,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
...Ready For It?,Taylor Swift,reputation,2017-11-10,81,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5
Karma,Taylor Swift,Midnights (3am Edition),2022-10-22,64,https://open.spotify.com/track/5oqDgw5VGBln5dSIOPWyBq
Why You? (En Vivo),Siddhartha,Al Aire (En Vivo),2018-08-10,45,https://open.spotify.com/track/75rl0H9T0mdXRzLBejps95
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,72,https://open.spotify.com/track/2XXwLdtuAcE0HSCu61ijAb
Lo Harás Otra Vez (Do It Again),Elevation Worship,Lo Harás Otra Vez,2017-08-18,65,https://open.spotify.com/track/3vcfHBHNmN5LG8otn8j4Kg
this is me trying,Taylor Swift,folklore,2020-07-24,77,https://open.spotify.com/track/7kt9e9LFSpN1zQtYEl19o1
La Gloria Eres Tu,Luis Miguel,Mis Boleros Favoritos,2002-10-15,45,https://open.spotify.com/track/63PQ70tKtEya0577EL39ew
