track_id,track_name,artists,artist_ids,album,album_id,release_date,popularity,spotify_url
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,7aJuG4TFXa2hmE4z1yxc3n,2024-05-17,100,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,3RQQmkQEvNCY4prGKE6oc5,2022-05-06,82,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
1PdgPj8tdE2OAhH40J4f4g,Cuestión De Piel,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,20 Años,3D9NENGfg4DFmYJrEaxRHd,1990-01-01,57,https://open.spotify.com/track/1PdgPj8tdE2OAhH40J4f4g
0bhpBIGgw3GrDUGtxO21E1,Nosotros - En Vivo,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,El Concierto,6efyUFJcUK18KRFTMoxNSI,1995-10-13,47,https://open.spotify.com/track/0bhpBIGgw3GrDUGtxO21E1
1YIoEGlYIrlir1FOdWmSe8,"Suerte (Whenever, Wherever)",Shakira,0EmeFodog0BfCgMzAIvKQp,Servicio De Lavandería,62F8unRY46ZDR2EE5ag5Z5,2001,69,https://open.spotify.com/track/1YIoEGlYIrlir1FOdWmSe8
5HR7yfhSCeoOHRQN05XnZQ,QUE VUELVAS,"Grupo Frontera, Carín León","6XkjpgcEsYab502Vr1bBeW, 66ihevNkSYNzRAl44dx6jJ",El Comienzo,5i9lMMUZ1QZNsLEE3j50kT,2023-08-25,80,https://open.spotify.com/track/5HR7yfhSCeoOHRQN05XnZQ
6lzc0Al0zfZOIFsFvBS1ki,State Of Grace (Taylor's Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,2021-11-12,67,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars","1HY2Jd0NmPuamShAr6KMms, 0du5cEVh5yTK9QJze8zA0C",MAYHEM,2MHUaRi9OCyTN02SoyRRBJ,2025-03-07,91,https://open.spotify.com/track/7so0lgd0zP2Sbgs2d7a1SZ
7ouMYWpwJ422jRcDASZB7P,Knights of Cydonia,Muse,12Chz98pHFMPJEknJQMWvI,Black Holes and Revelations,0lw68yx3MhKflWFqCsGkIs,2006-06-19,71,https://open.spotify.com/track/7ouMYWpwJ422jRcDASZB7P
0DWdj2oZMBFSzRsi2Cvfzf,TQG,"KAROL G, Shakira","790FomKkXshlbRYZFtlgla, 0EmeFodog0BfCgMzAIvKQp",MAÑANA SERÁ BONITO,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,85,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf
